chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
3	-	chr3:152093532-152166229	ENSMUSG00000039131	Gipc2	protein_coding	[152093842]	1	196	30	29	20	16	22	31	24	24
18	-	chr18:56761715-56925547	ENSMUSG00000032656	March3	protein_coding	[56775154]	1	185	11	17	26	14	30	29	28	30
3	+	chr3:89183142-89189294	ENSMUSG00000032657	Fam189b	protein_coding	[89189288]	1	542	78	61	76	64	62	80	69	52
9	+	chr9:55148853-55207528	ENSMUSG00000032307	Ube2q2	protein_coding	[55207520, 55192771]	2	276	29	38	34	39	34	43	35	24
5	+	chr5:143270074-143272512	ENSMUSG00000105345	RP23-301L9.3	lincRNA	[143272511]	1	65	13	9	4	11	5	13	6	4
15	-	chr15:76852147-76871434	ENSMUSG00000022526	Zfp251	protein_coding	[76851290]	1	38	6	5	2	4	5	7	4	5
9	-	chr9:50662751-50739516	ENSMUSG00000032064	Dixdc1	protein_coding	[50662754]	1	417	72	44	58	43	37	55	52	56
1	-	chr1:160315343-160316494	ENSMUSG00000103522	9430087J23Rik	TEC	[160315808]	1	86	6	9	10	14	14	11	11	11
5	-	chr5:76655928-76658354	ENSMUSG00000103529	A730089K16Rik	TEC	[76655377]	1	106	12	17	9	14	14	10	13	17
8	+	chr8:86745698-86746602	ENSMUSG00000074178	Gm10638	protein_coding	[86746602]	1	33	6	6	3	8	4	5	1	0
2	+	chr2:164497519-164508300	ENSMUSG00000017721	Pigt	protein_coding	[164508299]	1	3382	656	566	384	412	285	583	285	211
11	-	chr11:101769741-101785370	ENSMUSG00000017724	Etv4	protein_coding	[101769747]	1	1380	166	188	191	177	139	235	139	145
14	+	chr14:21831268-21845878	ENSMUSG00000021771	Vdac2	protein_coding	[21845698, 21845876]	2	870	123	90	99	110	86	109	123	130
14	+	chr14:21750530-21798724	ENSMUSG00000021770	Samd8	protein_coding	[21797224, 21798721]	2	171	28	23	16	17	10	14	22	41
14	-	chr14:21845860-21848976	ENSMUSG00000021773	Comtd1	protein_coding	[21847180]	1	641	71	96	77	75	66	90	75	91
14	+	chr14:18271135-18283941	ENSMUSG00000021772	Nkiras1	protein_coding	[18280441]	1	1061	132	123	130	122	129	172	133	120
14	-	chr14:18204053-18239126	ENSMUSG00000021775	Nr1d2	protein_coding	[18204057]	1	787	89	93	101	109	77	91	94	133
14	-	chr14:18282721-18331858	ENSMUSG00000021774	Ube2e1	protein_coding	[18282728]	1	1670	210	206	200	184	184	294	182	210
10	-	chr10:85119434-85128026	ENSMUSG00000049038	Mterf2	protein_coding	[85119442]	1	400	42	51	48	46	56	48	55	54
17	-	chr17:34616661-34628509	ENSMUSG00000015474	Ppt2	protein_coding	[34616663]	1	433	58	62	52	53	43	61	47	57
16	+	chr16:10545338-10744877	ENSMUSG00000068663	Clec16a	protein_coding	[10744659, 10744877]	2	317	30	40	50	36	36	49	39	37
11	-	chr11:69916713-69921957	ENSMUSG00000078812	Eif5a	protein_coding	[69916713]	1	415	50	44	43	39	38	69	72	60
7	-	chr7:3660097-3665839	ENSMUSG00000078813	Leng1	protein_coding	[3665790, 3660102]	2	237	31	27	25	37	21	34	29	33
15	-	chr15:93499113-93595890	ENSMUSG00000036158	Prickle1	protein_coding	[93499110]	1	607	79	81	77	72	72	93	69	64
10	-	chr10:75859352-75860249	ENSMUSG00000033307	Mif	protein_coding	[75859356]	1	9832	1267	1134	1197	1023	1115	1724	1405	967
7	+	chr7:44748412-44777514	ENSMUSG00000002205	Vrk3	protein_coding	[44777511]	1	400	49	47	53	39	45	50	48	69
18	+	chr18:42574208-42574363	ENSMUSG00000099024	Gm27457	misc_RNA	[42575552, 42575784]	2	789	89	108	85	76	83	140	112	96
14	-	chr14:20499363-20546572	ENSMUSG00000021816	Ppp3cb	protein_coding	[20499680, 20500459, 20499860, 20507671]	4	1352	168	199	172	168	123	177	174	171
11	-	chr11:107732356-107794556	ENSMUSG00000020723	Cacng4	protein_coding	[107733475, 107732364]	2	2626	399	352	352	268	271	469	292	223
11	+	chr11:116843277-116854262	ENSMUSG00000090266	Mettl23	protein_coding	[116854255]	1	70	10	4	9	8	8	14	7	10
18	-	chr18:46574533-46597534	ENSMUSG00000033184	Tmed7	protein_coding	[46588041, 46585938, 46596708]	3	389	62	56	37	48	40	55	39	52
13	+	chr13:31806690-31810642	ENSMUSG00000050295	Foxc1	protein_coding	[31809570, 31810637]	2	541	55	64	46	48	87	80	61	100
2	+	chr2:147184082-147331680	ENSMUSG00000086509	Nkx2-2os	antisense	[147188453]	1	32	5	7	2	1	3	6	2	6
11	-	chr11:28385684-28584323	ENSMUSG00000032878	Ccdc85a	protein_coding	[28387148, 28385692]	2	246	27	35	32	37	27	33	31	24
11	+	chr11:51059256-51072798	ENSMUSG00000020364	Zfp354a	protein_coding	[51071254]	1	50	5	4	7	11	6	5	8	4
7	-	chr7:100869745-100932160	ENSMUSG00000032875	Arhgef17	protein_coding	[100869753, 100872127]	2	331	42	30	33	46	45	39	57	39
9	+	chr9:87022013-87077773	ENSMUSG00000032872	Cyb5r4	protein_coding	[87077379]	1	627	68	91	96	64	77	85	82	64
4	-	chr4:120968316-121017246	ENSMUSG00000032870	Smap2	protein_coding	[120968322, 120969523]	2	1141	151	143	146	123	131	189	129	129
7	+	chr7:127448635-127459609	ENSMUSG00000086502	B130055M24Rik	processed_transcript	[127452883, 127456750]	2	281	30	28	37	34	30	32	45	45
1	+	chr1:170644531-170682788	ENSMUSG00000038463	Olfml2b	protein_coding	[170682788]	1	166	12	22	18	20	19	24	19	32
10	-	chr10:92071036-92165169	ENSMUSG00000097348	Rmst	lincRNA	[92141898, 92162109, 92071038, 92159543]	4	1219	136	142	134	134	174	212	153	134
11	+	chr11:49846750-49886420	ENSMUSG00000020366	Mapk9	protein_coding	[49873394, 49886055]	2	118	12	23	14	20	13	12	15	9
2	+	chr2:154651704-154694784	ENSMUSG00000038467	Chmp4b	protein_coding	[154694264, 154694781]	2	10261	1329	1334	1272	1190	1133	1618	1321	1064
7	+	chr7:116504368-116540553	ENSMUSG00000030659	Nucb2	protein_coding	[116540585, 116509571]	2	642	81	88	86	71	76	93	83	64
7	-	chr7:118118889-118129610	ENSMUSG00000030654	Arl6ip1	protein_coding	[118118904]	1	8045	949	1054	1018	977	858	1060	1041	1088
7	-	chr7:118131307-118243636	ENSMUSG00000030655	Smg1	protein_coding	[118131435]	1	78	8	8	15	6	5	23	6	7
1	-	chr1:185447115-185455567	ENSMUSG00000097615	Gm2061	lincRNA	[185447120]	1	178	20	30	19	23	16	23	21	26
5	-	chr5:67618139-67847433	ENSMUSG00000037685	Atp8a1	protein_coding	[67619161, 67618142]	2	3700	491	440	458	431	396	549	475	460
7	-	chr7:118509658-118533355	ENSMUSG00000030652	Coq7	protein_coding	[118525062]	1	923	107	99	120	106	84	131	118	158
2	-	chr2:129686564-129699843	ENSMUSG00000027400	Pdyn	protein_coding	[129686569]	1	966	134	124	122	115	85	136	125	125
5	+	chr5:76656511-76873553	ENSMUSG00000036377	C530008M17Rik	protein_coding	[76873544]	1	85	9	12	9	8	9	14	14	10
13	-	chr13:23421538-23423865	ENSMUSG00000036376	Abt1	protein_coding	[23421543]	1	673	89	75	82	71	59	87	86	124
6	+	chr6:67238175-67297735	ENSMUSG00000036371	Serbp1	protein_coding	[67294273, 67277826, 67289995, 67289250, 67297167, 67287120, 67285970, 67296248, 67286425]	9	2969	339	326	398	352	352	420	378	404
19	+	chr19:10204013-10207823	ENSMUSG00000036372	Tmem258	protein_coding	[10207816]	1	3096	390	352	382	296	389	438	466	383
1	+	chr1:87183312-87188404	ENSMUSG00000036480	Prss56	protein_coding	[87188403]	1	147	10	24	14	14	19	40	11	15
X	+	chrX:153237465-153396131	ENSMUSG00000041649	Klf8	protein_coding	[153395794]	1	130	23	21	14	15	10	19	13	15
16	+	chr16:32419701-32429098	ENSMUSG00000014075	Tctex1d2	protein_coding	[32429097, 32428893]	2	638	68	66	83	73	76	85	83	104
5	-	chr5:91948903-91963067	ENSMUSG00000029397	Rchy1	protein_coding	[91949000, 91949286]	2	735	100	99	91	73	70	103	112	87
X	+	chrX:152016427-152062693	ENSMUSG00000041133	Smc1a	protein_coding	[152061966]	1	1423	186	171	196	155	148	187	209	171
5	-	chr5:150571643-150597187	ENSMUSG00000041132	N4bp2l1	protein_coding	[150571643, 150591845]	2	385	43	43	43	49	46	64	41	56
4	-	chr4:16122732-16163646	ENSMUSG00000041135	Ripk2	protein_coding	[16122743]	1	42	6	5	5	5	3	7	6	5
1	+	chr1:136131388-136177997	ENSMUSG00000041642	Kif21b	protein_coding	[136177997]	1	4090	541	483	518	430	436	684	562	436
2	-	chr2:84669214-84670769	ENSMUSG00000076437	2700094K13Rik	protein_coding	[84669222]	1	1931	237	249	239	212	181	277	272	264
12	-	chr12:21390070-21417636	ENSMUSG00000076432	Ywhaq	protein_coding	[21390074, 21390326]	2	2297	231	288	319	292	228	347	297	295
13	-	chr13:28948918-28953712	ENSMUSG00000076431	Sox4	protein_coding	[28948921]	1	2393	259	263	326	231	293	401	327	293
19	+	chr19:11375522-11392789	ENSMUSG00000101389	Ms4a4a	protein_coding	[11393314]	1	159	16	16	23	19	24	23	5	33
2	+	chr2:162931527-162937120	ENSMUSG00000016921	Srsf6	protein_coding	[162935345, 162937117, 162935207]	3	3176	372	385	450	298	373	480	458	360
2	+	chr2:118388617-118475233	ENSMUSG00000005102	Eif2ak4	protein_coding	[118475232]	1	244	29	39	31	30	25	31	29	30
5	-	chr5:136982163-136988020	ENSMUSG00000059518	Znhit1	protein_coding	[136982195]	1	645	79	76	83	69	79	99	71	89
18	+	chr18:38250248-38262628	ENSMUSG00000024442	0610009O20Rik	protein_coding	[38262625]	1	448	43	49	52	55	41	70	54	84
2	-	chr2:155563180-155592809	ENSMUSG00000027610	Gss	protein_coding	[155563182]	1	75	8	9	11	10	7	6	6	18
2	-	chr2:117279992-117343000	ENSMUSG00000027347	Rasgrp1	protein_coding	[117279991]	1	64	7	6	7	8	8	10	9	9
2	+	chr2:155775341-155818365	ENSMUSG00000027612	Mmp24	protein_coding	[155818361]	1	1287	171	159	152	121	142	224	181	137
2	-	chr2:132249161-132253313	ENSMUSG00000027342	Pcna	protein_coding	[132249163]	1	263	27	24	40	31	30	53	34	24
3	-	chr3:19995944-20035314	ENSMUSG00000027615	Hps3	protein_coding	[19996166]	1	58	8	11	12	2	6	5	7	7
2	-	chr2:132052495-132145107	ENSMUSG00000027340	Slc23a2	protein_coding	[132052496]	1	847	94	104	60	81	90	105	134	179
7	-	chr7:105739392-105744360	ENSMUSG00000043866	Taf10	protein_coding	[105742897, 105739393]	2	1017	140	143	151	113	93	153	114	110
2	-	chr2:156123638-156144185	ENSMUSG00000027618	Nfs1	protein_coding	[156123657]	1	239	27	30	21	34	23	34	32	38
2	+	chr2:117249738-117271539	ENSMUSG00000027349	Fam98b	protein_coding	[117271538]	1	1467	161	202	185	147	176	247	182	167
7	-	chr7:46888948-46919968	ENSMUSG00000014402	Tsg101	protein_coding	[46889375, 46888951]	2	1230	185	157	142	118	124	187	175	142
13	+	chr13:43398375-43402857	ENSMUSG00000063200	Nol7	protein_coding	[43401987]	1	1565	167	202	199	172	180	215	194	236
9	+	chr9:120130414-120130562	ENSMUSG00000064925	Snora62	snoRNA	[120131571]	1	3087	357	330	395	303	344	542	403	413
17	+	chr17:34647145-34655073	ENSMUSG00000015461	Atf6b	protein_coding	[34655071]	1	3304	446	426	383	371	348	546	433	351
4	-	chr4:148145715-148152139	ENSMUSG00000055401	Fbxo6	protein_coding	[148145787]	1	131	21	21	12	15	12	19	21	10
7	+	chr7:99267446-99337136	ENSMUSG00000055407	Map6	protein_coding	[99320353, 99327745, 99337135]	3	2248	270	277	306	270	226	371	271	257
7	+	chr7:49974863-50865254	ENSMUSG00000055409	Nell1	protein_coding	[50863351]	1	1639	209	202	175	185	185	250	219	214
1	-	chr1:36698113-36714421	ENSMUSG00000037351	Actr1b	protein_coding	[36698113, 36699203]	2	1883	219	243	235	191	213	299	247	236
17	+	chr17:32993128-33005456	ENSMUSG00000053390	Zfp952	protein_coding	[33005248, 33005455]	2	216	30	28	27	19	22	34	31	25
5	+	chr5:33378548-33419753	ENSMUSG00000037355	Uvssa	protein_coding	[33419752]	1	310	27	50	24	36	34	56	41	42
5	+	chr5:137026391-137033350	ENSMUSG00000037428	Vgf	protein_coding	[137033343]	1	1742	173	228	181	242	213	254	232	219
7	-	chr7:19903577-19921159	ENSMUSG00000040511	Pvr	protein_coding	[19903578]	1	75	9	12	12	9	4	9	9	11
X	-	chrX:73396858-73398891	ENSMUSG00000096966	Gm18336	processed_pseudogene	[73395188]	1	30	9	1	2	5	2	5	5	1
7	-	chr7:17031506-17062426	ENSMUSG00000004328	Hif3a	protein_coding	[17030992]	1	206	23	33	22	34	13	27	29	25
3	-	chr3:116109948-116129687	ENSMUSG00000027962	Vcam1	protein_coding	[116110140]	1	994	116	129	144	143	98	137	118	109
3	+	chr3:116007461-116029016	ENSMUSG00000027963	Extl2	protein_coding	[116029010, 116028871]	2	878	114	105	130	112	95	123	99	100
15	-	chr15:83546796-83555710	ENSMUSG00000048755	Mcat	protein_coding	[83546798]	1	220	38	30	22	29	16	29	32	24
3	+	chr3:114030539-114220717	ENSMUSG00000027966	Col11a1	protein_coding	[114219384, 114220319]	2	234	18	33	28	32	35	32	23	33
3	+	chr3:114904077-115125721	ENSMUSG00000027965	Olfm3	protein_coding	[115125059, 114949292, 115125247]	3	707	93	103	76	96	63	93	81	102
3	-	chr3:127536713-127553348	ENSMUSG00000027968	Larp7	protein_coding	[127536715]	1	567	59	82	64	63	68	73	80	78
X	+	chrX:99136129-99148990	ENSMUSG00000031217	Efnb1	protein_coding	[99148954]	1	130	9	21	21	16	15	15	19	14
8	+	chr8:92827327-92853416	ENSMUSG00000031740	Mmp2	protein_coding	[92853418]	1	442	53	58	51	40	61	84	52	43
X	-	chrX:98554276-98891024	ENSMUSG00000031214	Ophn1	protein_coding	[98558255]	1	94	9	14	9	15	7	16	14	10
X	+	chrX:96713440-96719387	ENSMUSG00000031210	Gpr165	protein_coding	[96721855]	1	693	103	88	89	102	78	93	69	71
8	+	chr8:93809965-93969387	ENSMUSG00000031748	Gnao1	protein_coding	[93969386, 93969067]	2	6770	880	879	840	792	677	910	890	902
11	+	chr11:100574903-100591728	ENSMUSG00000006782	Cnp	protein_coding	[100581726]	1	773	110	105	78	130	80	100	67	103
1	+	chr1:166379096-166393620	ENSMUSG00000026563	Tada1	protein_coding	[166393617]	1	1472	165	196	205	157	169	193	188	199
1	+	chr1:39900912-40026309	ENSMUSG00000026074	Map4k4	protein_coding	[40026304]	1	5289	602	689	633	455	717	869	775	549
1	-	chr1:165865153-166002677	ENSMUSG00000026565	Pou2f1	protein_coding	[165865153]	1	1668	221	227	199	194	167	223	228	209
15	-	chr15:102176997-102189042	ENSMUSG00000023044	Csad	protein_coding	[102176999]	1	321	49	30	38	26	33	47	40	58
15	+	chr15:102459027-102462805	ENSMUSG00000023048	Prr13	protein_coding	[102462782]	1	868	101	97	102	102	104	136	125	101
17	+	chr17:48410013-48417265	ENSMUSG00000040771	Oard1	protein_coding	[48417253]	1	145	12	22	13	14	21	15	20	28
3	-	chr3:106502259-106547801	ENSMUSG00000040774	Cept1	protein_coding	[106502986, 106543677]	2	1084	140	123	141	117	116	154	161	132
1	-	chr1:54472993-54557683	ENSMUSG00000073678	Pgap1	protein_coding	[54475549, 54473007]	2	4857	606	604	612	580	542	712	630	571
4	+	chr4:126286792-126314329	ENSMUSG00000056174	Col8a2	protein_coding	[126314328]	1	87	6	8	4	7	13	11	13	25
1	+	chr1:55088131-55091306	ENSMUSG00000073676	Hspe1	protein_coding	[55091237]	1	2445	282	237	264	262	250	283	273	594
1	-	chr1:193272160-193273216	ENSMUSG00000009633	G0s2	protein_coding	[193272160]	1	326	20	21	23	23	21	12	16	190
5	+	chr5:143817787-143904250	ENSMUSG00000029613	Eif2ak1	protein_coding	[143902715]	1	196	21	18	24	20	28	29	25	31
5	-	chr5:143902703-143909846	ENSMUSG00000029610	Aimp2	protein_coding	[143902704]	1	1556	187	186	198	177	183	246	193	186
5	-	chr5:121428589-121452505	ENSMUSG00000029616	Erp29	protein_coding	[121444753]	1	4694	545	565	565	505	540	723	575	676
5	-	chr5:143987908-144014876	ENSMUSG00000029617	Ccz1	protein_coding	[143987915]	1	1025	125	111	133	117	120	144	148	127
2	-	chr2:112631354-113217095	ENSMUSG00000057378	Ryr3	protein_coding	[113128115, 112631373]	2	101	8	8	6	23	7	18	15	16
X	-	chrX:150806369-150814344	ENSMUSG00000025268	Maged2	protein_coding	[150806422]	1	4285	505	517	523	501	499	694	498	548
X	-	chrX:150983140-151017321	ENSMUSG00000025266	Gnl3l	protein_coding	[150983140]	1	3777	469	480	447	407	405	577	524	468
X	+	chrX:151046149-151089520	ENSMUSG00000025265	Fgd1	protein_coding	[151089107]	1	46	4	6	3	9	3	7	6	8
X	-	chrX:151087093-151096542	ENSMUSG00000025264	Tsr2	protein_coding	[151087094]	1	193	21	20	34	18	18	32	22	28
1	+	chr1:9798106-9900844	ENSMUSG00000025915	Sgk3	protein_coding	[9899847]	1	41	5	2	5	10	4	2	4	9
1	-	chr1:10024600-10038167	ENSMUSG00000025917	Cops5	protein_coding	[10024601, 10024833]	2	3189	396	406	380	384	337	438	373	475
X	+	chrX:152001844-152004441	ENSMUSG00000025260	Hsd17b10	protein_coding	[152004438]	1	637	81	75	59	76	65	84	79	118
17	-	chr17:33241518-33255039	ENSMUSG00000094441	Zfp955a	protein_coding	[33239718]	1	831	88	103	113	92	96	115	127	97
9	+	chr9:95637600-95698095	ENSMUSG00000015354	Pcolce2	protein_coding	[95695547]	1	35	4	0	4	6	5	6	5	5
14	+	chr14:122475434-122479851	ENSMUSG00000061524	Zic2	protein_coding	[122480327]	1	1884	215	243	214	159	257	259	274	263
5	-	chr5:107744794-107875106	ENSMUSG00000011831	Evi5	protein_coding	[107744798]	1	614	86	80	62	63	68	87	100	68
8	+	chr8:4166566-4211256	ENSMUSG00000011832	Evi5l	protein_coding	[4208045]	1	1874	228	226	211	192	223	314	267	213
8	+	chr8:4253101-4256218	ENSMUSG00000011837	Snapc2	protein_coding	[4256218]	1	771	91	86	100	104	87	114	85	104
11	+	chr11:3895239-3901295	ENSMUSG00000047205	Dusp18	protein_coding	[3901295]	1	481	63	61	55	63	56	58	78	47
13	+	chr13:119606649-119610457	ENSMUSG00000094114	Gm21967	protein_coding	[119610457]	1	134	31	18	6	16	17	11	19	16
19	-	chr19:18579327-18631788	ENSMUSG00000024725	Ostf1	protein_coding	[18580994, 18580812]	2	390	49	51	40	34	42	49	47	78
3	+	chr3:96162003-96171717	ENSMUSG00000045934	Mtmr11	protein_coding	[96171712]	1	170	26	21	17	15	18	21	26	26
4	+	chr4:126058564-126092194	ENSMUSG00000042616	Oscp1	protein_coding	[126092196]	1	98	16	12	13	8	17	13	12	7
12	-	chr12:58264719-58269257	ENSMUSG00000045930	Clec14a	protein_coding	[58267107]	1	95	14	13	10	10	12	11	8	17
3	+	chr3:89436705-89450951	ENSMUSG00000042613	Pbxip1	protein_coding	[89450942]	1	919	113	115	119	116	115	115	86	140
19	+	chr19:34550693-34576418	ENSMUSG00000045932	Ifit2	protein_coding	[34576522]	1	56	7	9	4	5	6	5	7	13
9	+	chr9:91362412-91389347	ENSMUSG00000036972	Zic4	protein_coding	[91389271]	1	354	47	49	54	38	35	40	50	41
1	+	chr1:17601900-17630938	ENSMUSG00000067780	Pi15	protein_coding	[17630931]	1	63	8	17	8	4	3	10	4	9
8	+	chr8:79711819-79777320	ENSMUSG00000036977	Anapc10	protein_coding	[79779633, 79775346]	2	247	29	27	35	24	25	47	32	28
2	-	chr2:157556361-157571273	ENSMUSG00000067787	Blcap	protein_coding	[157556362]	1	4433	549	569	559	471	498	713	543	531
1	-	chr1:119907889-119913207	ENSMUSG00000036975	Tmem177	protein_coding	[119909710]	1	106	19	11	18	14	5	13	12	14
19	+	chr19:20601960-20643461	ENSMUSG00000053279	Aldh1a1	protein_coding	[20643460]	1	85	5	14	17	14	6	12	5	12
13	+	chr13:34037640-34074073	ENSMUSG00000038286	Bphl	protein_coding	[34074070, 34039503]	2	277	33	27	23	27	37	38	42	50
6	-	chr6:28661830-28831746	ENSMUSG00000049939	Lrrc4	protein_coding	[28828132, 28827903]	2	1114	133	144	128	141	140	180	134	114
11	-	chr11:42130938-42182929	ENSMUSG00000010803	Gabra1	protein_coding	[42131485]	1	87	14	8	12	11	6	18	11	7
19	+	chr19:58670364-58681785	ENSMUSG00000046008	Pnlip	protein_coding	[58681785]	1	92	9	8	14	9	16	13	6	17
6	-	chr6:83051265-83055272	ENSMUSG00000068329	Htra2	protein_coding	[83051283]	1	385	51	59	38	47	39	65	42	44
6	+	chr6:83054520-83057807	ENSMUSG00000068328	Aup1	protein_coding	[83057679]	1	697	100	79	102	81	68	89	69	109
16	-	chr16:63543537-63864157	ENSMUSG00000052504	Epha3	protein_coding	[63543537]	1	92	18	9	13	11	8	13	7	13
11	+	chr11:115564433-115583984	ENSMUSG00000020739	Nup85	protein_coding	[115583896]	1	343	39	38	38	31	44	48	52	53
11	-	chr11:115490419-115491861	ENSMUSG00000020736	Nt5c	protein_coding	[115490421]	1	109	12	9	19	10	15	15	9	20
11	-	chr11:115497352-115514386	ENSMUSG00000020737	Hn1	protein_coding	[115498031]	1	6423	728	779	803	506	866	1013	998	730
2	-	chr2:66270777-66440839	ENSMUSG00000064329	Scn1a	protein_coding	[66296328, 66270781]	2	316	51	39	23	35	22	53	44	49
1	+	chr1:143640663-143654613	ENSMUSG00000033849	B3galt2	protein_coding	[143648729]	1	41	7	3	6	4	6	4	4	7
3	-	chr3:100562207-100685502	ENSMUSG00000008763	Man1a2	protein_coding	[100565436, 100562207]	2	1289	166	131	140	155	164	194	194	145
4	-	chr4:21757381-21767211	ENSMUSG00000028251	Tstd3	protein_coding	[21757382]	1	392	41	55	45	58	52	51	43	47
1	-	chr1:4773205-4785738	ENSMUSG00000033845	Mrpl15	protein_coding	[4776377]	1	593	78	53	62	60	59	108	72	101
4	+	chr4:49059272-49340258	ENSMUSG00000063446	Lppr1	protein_coding	[49250494]	1	40	1	11	2	4	5	8	2	7
7	-	chr7:114631479-114636356	ENSMUSG00000030669	Calca	protein_coding	[114631485]	1	419	61	59	51	58	31	57	45	57
10	+	chr10:74967176-75016906	ENSMUSG00000040009	Gnaz	protein_coding	[75016903]	1	716	60	95	93	95	64	95	102	112
6	+	chr6:93241719-93244205	ENSMUSG00000107655	RP24-358M18.2	TEC	[93244205]	1	37	2	7	9	2	4	5	2	6
7	-	chr7:40818475-40900936	ENSMUSG00000100600	A230077H06Rik	antisense	[40849154, 40849911]	2	225	31	34	30	26	17	24	29	34
14	+	chr14:54426908-54429755	ENSMUSG00000010406	Mrpl52	protein_coding	[54429744]	1	1650	167	195	197	196	204	232	232	227
10	-	chr10:89574019-89621252	ENSMUSG00000019935	Slc17a8	protein_coding	[89574020]	1	36	5	2	5	6	5	6	2	5
11	+	chr11:52098680-52127777	ENSMUSG00000020349	Ppp2ca	protein_coding	[52122736, 52122610, 52124458, 52123390]	4	5272	691	688	731	608	603	701	676	574
2	-	chr2:144542264-144550868	ENSMUSG00000027428	Rbbp9	protein_coding	[144542265]	1	205	29	23	32	20	22	19	20	40
2	+	chr2:144527717-144541994	ENSMUSG00000027427	Polr3f	protein_coding	[144541992]	1	593	70	62	63	52	63	68	103	112
11	+	chr11:49244190-49263029	ENSMUSG00000020346	Mgat1	protein_coding	[49263018]	1	1667	205	215	218	202	187	209	188	243
14	-	chr14:15357518-15438986	ENSMUSG00000045201	Lrrc3b	protein_coding	[15357520]	1	252	34	36	29	27	22	24	42	38
2	+	chr2:144270662-144281226	ENSMUSG00000027424	Mgme1	protein_coding	[144280512, 144281228]	2	199	23	16	23	28	19	29	21	40
2	-	chr2:144250122-144270905	ENSMUSG00000027423	Snx5	protein_coding	[144250125, 144250533]	2	4773	592	586	607	621	521	678	499	669
7	-	chr7:83879872-83884304	ENSMUSG00000070462	Mesdc1	protein_coding	[83881520, 83880729]	2	578	48	56	71	67	73	79	87	97
4	-	chr4:11261314-11322136	ENSMUSG00000045205	Dpy19l4	protein_coding	[11261314]	1	281	50	38	24	30	35	39	38	27
14	-	chr14:54541784-54554360	ENSMUSG00000022177	Haus4	protein_coding	[54541785]	1	199	20	23	28	18	16	31	31	32
10	+	chr10:128499363-128504241	ENSMUSG00000097353	A430046D13Rik	lincRNA	[128502962]	1	154	27	25	16	18	12	23	15	18
9	+	chr9:98986372-99002020	ENSMUSG00000032463	Faim	protein_coding	[99002017]	1	356	49	33	37	56	33	41	46	61
9	-	chr9:99036653-99140620	ENSMUSG00000032462	Pik3cb	protein_coding	[99038401, 99036650]	2	227	31	37	19	27	19	30	33	31
9	+	chr9:99575798-99584500	ENSMUSG00000032469	Dbr1	protein_coding	[99583944, 99584343]	2	308	32	39	45	29	33	53	45	32
9	-	chr9:99478371-99568898	ENSMUSG00000032468	Armc8	protein_coding	[99518976, 99519978, 99518812, 99480094, 99478391]	5	1701	204	210	205	215	180	265	212	210
6	+	chr6:48504336-48534831	ENSMUSG00000107476	Zfp862-ps	transcribed_unitary_pseudogene	[48534830]	1	550	56	71	71	57	57	86	71	81
13	+	chr13:42680622-43138525	ENSMUSG00000054728	Phactr1	protein_coding	[42920893, 42757838]	2	195	23	19	21	16	21	38	26	31
